V1	V2	organism
P41182	P56524	Human
P41182	Q9UQL6	Human
P41182	Q8WUI4	Human
Q09472	Q92793	Human
Q09472	Q92831	Human
Q09472	Q9Y6Q9	Human
Q92793	Q92831	Human
Q92793	Q9Y6Q9	Human
Q92831	Q9Y6Q9	Human
P30561	P53762	Mouse
O95347	Q15003	Human
O95347	Q15021	Human
O95347	Q9BPX3	Human
O95347	Q9NTJ3	Human
Q15003	Q15021	Human
Q15003	Q9BPX3	Human
Q15003	Q9NTJ3	Human
Q15021	Q9BPX3	Human
Q15021	Q9NTJ3	Human
Q9BPX3	Q9NTJ3	Human
Q92902	Q9NQG7	Human
Q86YV9	Q969F9	Human
Q86YV9	Q9UPZ3	Human
Q969F9	Q9UPZ3	Human
Q92903	Q96NY9	Human
P59438	Q8BLY7	Mouse
P59438	Q91VB4	Mouse
Q8BLY7	Q91VB4	Mouse
O15379	O60907	Human
O15379	O75376	Human
O15379	Q13227	Human
O15379	Q92828	Human
O15379	Q9BZK7	Human
O60907	O75376	Human
O60907	Q13227	Human
O60907	Q92828	Human
O60907	Q9BZK7	Human
O75376	Q13227	Human
O75376	Q92828	Human
O75376	Q9BZK7	Human
Q13227	Q92828	Human
Q13227	Q9BZK7	Human
Q92828	Q9BZK7	Human
O95295	P78537	Human
O95295	Q6QNY0	Human
O95295	Q6QNY1	Human
O95295	Q8TDH9	Human
O95295	Q96EV8	Human
O95295	Q9NUP1	Human
O95295	Q9UL45	Human
P78537	Q6QNY0	Human
P78537	Q6QNY1	Human
P78537	Q8TDH9	Human
P78537	Q96EV8	Human
P78537	Q9NUP1	Human
P78537	Q9UL45	Human
Q6QNY0	Q6QNY1	Human
Q6QNY0	Q8TDH9	Human
Q6QNY0	Q96EV8	Human
Q6QNY0	Q9NUP1	Human
Q6QNY0	Q9UL45	Human
Q6QNY1	Q8TDH9	Human
Q6QNY1	Q96EV8	Human
Q6QNY1	Q9NUP1	Human
Q6QNY1	Q9UL45	Human
Q8TDH9	Q96EV8	Human
Q8TDH9	Q9NUP1	Human
Q8TDH9	Q9UL45	Human
Q96EV8	Q9NUP1	Human
Q96EV8	Q9UL45	Human
Q9NUP1	Q9UL45	Human
O55102	Q5U5M8	Mouse
O55102	Q8R015	Mouse
O55102	Q8VED2	Mouse
O55102	Q91WZ8	Mouse
O55102	Q9CWG9	Mouse
O55102	Q9R0C0	Mouse
O55102	Q9Z266	Mouse
Q5U5M8	Q8R015	Mouse
Q5U5M8	Q8VED2	Mouse
Q5U5M8	Q91WZ8	Mouse
Q5U5M8	Q9CWG9	Mouse
Q5U5M8	Q9R0C0	Mouse
Q5U5M8	Q9Z266	Mouse
Q8R015	Q8VED2	Mouse
Q8R015	Q91WZ8	Mouse
Q8R015	Q9CWG9	Mouse
Q8R015	Q9R0C0	Mouse
Q8R015	Q9Z266	Mouse
Q8VED2	Q91WZ8	Mouse
Q8VED2	Q9CWG9	Mouse
Q8VED2	Q9R0C0	Mouse
Q8VED2	Q9Z266	Mouse
Q91WZ8	Q9CWG9	Mouse
Q91WZ8	Q9R0C0	Mouse
Q91WZ8	Q9Z266	Mouse
Q9CWG9	Q9R0C0	Mouse
Q9CWG9	Q9Z266	Mouse
Q9R0C0	Q9Z266	Mouse
O08915	P07901	Mouse
O08915	P11499	Mouse
O08915	P30561	Mouse
P07901	P11499	Mouse
P07901	P30561	Mouse
P11499	P30561	Mouse
P54612	P67776	Pig
P54612	Q8WMR7	Pig
P67776	Q8WMR7	Pig
O15143	O15144	Human
O15143	O15145	Human
O15143	O15511	Human
O15143	P59998	Human
O15143	P61158	Human
O15143	P61160	Human
O15144	O15145	Human
O15144	O15511	Human
O15144	P59998	Human
O15144	P61158	Human
O15144	P61160	Human
O15145	O15511	Human
O15145	P59998	Human
O15145	P61158	Human
O15145	P61160	Human
O15511	P59998	Human
O15511	P61158	Human
O15511	P61160	Human
P59998	P61158	Human
P59998	P61160	Human
P61158	P61160	Human
Q2KIW6	Q3SZ19	Bovine
Q2KIW6	Q3SZ81	Bovine
Q3SZ19	Q3SZ81	Bovine
Q06323	Q9UL46	Human
Q2KJE7	Q5E9G3	Bovine
O00231	O00232	Human
O00231	O00233	Human
O00231	O00487	Human
O00231	O43242	Human
O00231	O75832	Human
O00231	P17980	Human
O00231	P35998	Human
O00231	P43686	Human
O00231	P48556	Human
O00231	P51665	Human
O00231	P55036	Human
O00231	P62191	Human
O00231	P62195	Human
O00231	P62333	Human
O00231	Q13200	Human
O00231	Q15008	Human
O00231	Q16401	Human
O00231	Q99460	Human
O00231	Q9UNM6	Human
O00232	O00233	Human
O00232	O00487	Human
O00232	O43242	Human
O00232	O75832	Human
O00232	P17980	Human
O00232	P35998	Human
O00232	P43686	Human
O00232	P48556	Human
O00232	P51665	Human
O00232	P55036	Human
O00232	P62191	Human
O00232	P62195	Human
O00232	P62333	Human
O00232	Q13200	Human
O00232	Q15008	Human
O00232	Q16401	Human
O00232	Q99460	Human
O00232	Q9UNM6	Human
O00233	O00487	Human
O00233	O43242	Human
O00233	O75832	Human
O00233	P17980	Human
O00233	P35998	Human
O00233	P43686	Human
O00233	P48556	Human
O00233	P51665	Human
O00233	P55036	Human
O00233	P62191	Human
O00233	P62195	Human
O00233	P62333	Human
O00233	Q13200	Human
O00233	Q15008	Human
O00233	Q16401	Human
O00233	Q99460	Human
O00233	Q9UNM6	Human
O00487	O43242	Human
O00487	O75832	Human
O00487	P17980	Human
O00487	P35998	Human
O00487	P43686	Human
O00487	P48556	Human
O00487	P51665	Human
O00487	P55036	Human
O00487	P62191	Human
O00487	P62195	Human
O00487	P62333	Human
O00487	Q13200	Human
O00487	Q15008	Human
O00487	Q16401	Human
O00487	Q99460	Human
O00487	Q9UNM6	Human
O43242	O75832	Human
O43242	P17980	Human
O43242	P35998	Human
O43242	P43686	Human
O43242	P48556	Human
O43242	P51665	Human
O43242	P55036	Human
O43242	P62191	Human
O43242	P62195	Human
O43242	P62333	Human
O43242	Q13200	Human
O43242	Q15008	Human
O43242	Q16401	Human
O43242	Q99460	Human
O43242	Q9UNM6	Human
O75832	P17980	Human
O75832	P35998	Human
O75832	P43686	Human
O75832	P48556	Human
O75832	P51665	Human
O75832	P55036	Human
O75832	P62191	Human
O75832	P62195	Human
O75832	P62333	Human
O75832	Q13200	Human
O75832	Q15008	Human
O75832	Q16401	Human
O75832	Q99460	Human
O75832	Q9UNM6	Human
P17980	P35998	Human
P17980	P43686	Human
P17980	P48556	Human
P17980	P51665	Human
P17980	P55036	Human
P17980	P62191	Human
P17980	P62195	Human
P17980	P62333	Human
P17980	Q13200	Human
P17980	Q15008	Human
P17980	Q16401	Human
P17980	Q99460	Human
P17980	Q9UNM6	Human
P35998	P43686	Human
P35998	P48556	Human
P35998	P51665	Human
P35998	P55036	Human
P35998	P62191	Human
P35998	P62195	Human
P35998	P62333	Human
P35998	Q13200	Human
P35998	Q15008	Human
P35998	Q16401	Human
P35998	Q99460	Human
P35998	Q9UNM6	Human
P43686	P48556	Human
P43686	P51665	Human
P43686	P55036	Human
P43686	P62191	Human
P43686	P62195	Human
P43686	P62333	Human
P43686	Q13200	Human
P43686	Q15008	Human
P43686	Q16401	Human
P43686	Q99460	Human
P43686	Q9UNM6	Human
P48556	P51665	Human
P48556	P55036	Human
P48556	P62191	Human
P48556	P62195	Human
P48556	P62333	Human
P48556	Q13200	Human
P48556	Q15008	Human
P48556	Q16401	Human
P48556	Q99460	Human
P48556	Q9UNM6	Human
P51665	P55036	Human
P51665	P62191	Human
P51665	P62195	Human
P51665	P62333	Human
P51665	Q13200	Human
P51665	Q15008	Human
P51665	Q16401	Human
P51665	Q99460	Human
P51665	Q9UNM6	Human
P55036	P62191	Human
P55036	P62195	Human
P55036	P62333	Human
P55036	Q13200	Human
P55036	Q15008	Human
P55036	Q16401	Human
P55036	Q99460	Human
P55036	Q9UNM6	Human
P62191	P62195	Human
P62191	P62333	Human
P62191	Q13200	Human
P62191	Q15008	Human
P62191	Q16401	Human
P62191	Q99460	Human
P62191	Q9UNM6	Human
P62195	P62333	Human
P62195	Q13200	Human
P62195	Q15008	Human
P62195	Q16401	Human
P62195	Q99460	Human
P62195	Q9UNM6	Human
P62333	Q13200	Human
P62333	Q15008	Human
P62333	Q16401	Human
P62333	Q99460	Human
P62333	Q9UNM6	Human
Q13200	Q15008	Human
Q13200	Q16401	Human
Q13200	Q99460	Human
Q13200	Q9UNM6	Human
Q15008	Q16401	Human
Q15008	Q99460	Human
Q15008	Q9UNM6	Human
Q16401	Q99460	Human
Q16401	Q9UNM6	Human
Q99460	Q9UNM6	Human
O15212	O60925	Human
O15212	P61758	Human
O15212	Q99471	Human
O15212	Q9NQP4	Human
O15212	Q9UHV9	Human
O60925	P61758	Human
O60925	Q99471	Human
O60925	Q9NQP4	Human
O60925	Q9UHV9	Human
P61758	Q99471	Human
P61758	Q9NQP4	Human
P61758	Q9UHV9	Human
Q99471	Q9NQP4	Human
Q99471	Q9UHV9	Human
Q9NQP4	Q9UHV9	Human
P11530	P47863	Rat
P11530	Q498T0	Rat
P11530	Q91XP6	Rat
P47863	Q498T0	Rat
P47863	Q91XP6	Rat
Q498T0	Q91XP6	Rat
O43747	O75843	Human
O43747	P56377	Human
O43747	P61966	Human
O43747	Q10567	Human
O43747	Q96PC3	Human
O43747	Q9BXS5	Human
O43747	Q9Y6Q5	Human
O75843	P56377	Human
O75843	P61966	Human
O75843	Q10567	Human
O75843	Q96PC3	Human
O75843	Q9BXS5	Human
O75843	Q9Y6Q5	Human
P56377	P61966	Human
P56377	Q10567	Human
P56377	Q96PC3	Human
P56377	Q9BXS5	Human
P56377	Q9Y6Q5	Human
P61966	Q10567	Human
P61966	Q96PC3	Human
P61966	Q9BXS5	Human
P61966	Q9Y6Q5	Human
Q10567	Q96PC3	Human
Q10567	Q9BXS5	Human
Q10567	Q9Y6Q5	Human
Q96PC3	Q9BXS5	Human
Q96PC3	Q9Y6Q5	Human
Q9BXS5	Q9Y6Q5	Human
Q99PF4	Q9ES64	Mouse
O09061	O55234	Mouse
O09061	O70435	Mouse
O09061	P49722	Mouse
O09061	P70195	Mouse
O09061	P99026	Mouse
O09061	Q60692	Mouse
O09061	Q9QUM9	Mouse
O09061	Q9R1P0	Mouse
O09061	Q9R1P1	Mouse
O09061	Q9R1P3	Mouse
O09061	Q9R1P4	Mouse
O09061	Q9Z2U0	Mouse
O09061	Q9Z2U1	Mouse
O55234	O70435	Mouse
O55234	P49722	Mouse
O55234	P70195	Mouse
O55234	P99026	Mouse
O55234	Q60692	Mouse
O55234	Q9QUM9	Mouse
O55234	Q9R1P0	Mouse
O55234	Q9R1P1	Mouse
O55234	Q9R1P3	Mouse
O55234	Q9R1P4	Mouse
O55234	Q9Z2U0	Mouse
O55234	Q9Z2U1	Mouse
O70435	P49722	Mouse
O70435	P70195	Mouse
O70435	P99026	Mouse
O70435	Q60692	Mouse
O70435	Q9QUM9	Mouse
O70435	Q9R1P0	Mouse
O70435	Q9R1P1	Mouse
O70435	Q9R1P3	Mouse
O70435	Q9R1P4	Mouse
O70435	Q9Z2U0	Mouse
O70435	Q9Z2U1	Mouse
P49722	P70195	Mouse
P49722	P99026	Mouse
P49722	Q60692	Mouse
P49722	Q9QUM9	Mouse
P49722	Q9R1P0	Mouse
P49722	Q9R1P1	Mouse
P49722	Q9R1P3	Mouse
P49722	Q9R1P4	Mouse
P49722	Q9Z2U0	Mouse
P49722	Q9Z2U1	Mouse
P70195	P99026	Mouse
P70195	Q60692	Mouse
P70195	Q9QUM9	Mouse
P70195	Q9R1P0	Mouse
P70195	Q9R1P1	Mouse
P70195	Q9R1P3	Mouse
P70195	Q9R1P4	Mouse
P70195	Q9Z2U0	Mouse
P70195	Q9Z2U1	Mouse
P99026	Q60692	Mouse
P99026	Q9QUM9	Mouse
P99026	Q9R1P0	Mouse
P99026	Q9R1P1	Mouse
P99026	Q9R1P3	Mouse
P99026	Q9R1P4	Mouse
P99026	Q9Z2U0	Mouse
P99026	Q9Z2U1	Mouse
Q60692	Q9QUM9	Mouse
Q60692	Q9R1P0	Mouse
Q60692	Q9R1P1	Mouse
Q60692	Q9R1P3	Mouse
Q60692	Q9R1P4	Mouse
Q60692	Q9Z2U0	Mouse
Q60692	Q9Z2U1	Mouse
Q9QUM9	Q9R1P0	Mouse
Q9QUM9	Q9R1P1	Mouse
Q9QUM9	Q9R1P3	Mouse
Q9QUM9	Q9R1P4	Mouse
Q9QUM9	Q9Z2U0	Mouse
Q9QUM9	Q9Z2U1	Mouse
Q9R1P0	Q9R1P1	Mouse
Q9R1P0	Q9R1P3	Mouse
Q9R1P0	Q9R1P4	Mouse
Q9R1P0	Q9Z2U0	Mouse
Q9R1P0	Q9Z2U1	Mouse
Q9R1P1	Q9R1P3	Mouse
Q9R1P1	Q9R1P4	Mouse
Q9R1P1	Q9Z2U0	Mouse
Q9R1P1	Q9Z2U1	Mouse
Q9R1P3	Q9R1P4	Mouse
Q9R1P3	Q9Z2U0	Mouse
Q9R1P3	Q9Z2U1	Mouse
Q9R1P4	Q9Z2U0	Mouse
Q9R1P4	Q9Z2U1	Mouse
Q9Z2U0	Q9Z2U1	Mouse
O09061	O35955	Mouse
O09061	O70435	Mouse
O09061	P28063	Mouse
O09061	P28076	Mouse
O09061	P49722	Mouse
O09061	P99026	Mouse
O09061	Q9QUM9	Mouse
O09061	Q9R1P0	Mouse
O09061	Q9R1P1	Mouse
O09061	Q9R1P3	Mouse
O09061	Q9R1P4	Mouse
O09061	Q9Z2U0	Mouse
O09061	Q9Z2U1	Mouse
O35955	O70435	Mouse
O35955	P28063	Mouse
O35955	P28076	Mouse
O35955	P49722	Mouse
O35955	P99026	Mouse
O35955	Q9QUM9	Mouse
O35955	Q9R1P0	Mouse
O35955	Q9R1P1	Mouse
O35955	Q9R1P3	Mouse
O35955	Q9R1P4	Mouse
O35955	Q9Z2U0	Mouse
O35955	Q9Z2U1	Mouse
O70435	P28063	Mouse
O70435	P28076	Mouse
